000A94A0,"Faith: Let them try."
001407A9,"Runner. The package contains a memento for a friend of mine. Something I made myself. It’s kind of fragile, so please be careful."
0016EC58,"Runner. The statue inside that package is very important to me. Deliver it without breaking it and I’ll pay you good scrip."
002B0375,"FRAGILE DELIVERY"
004D37A3,"EAJ LOCALIZATION TESTING COORDINATORS"
0053636E,"Dogen: The woman she refers to - I have my suspicions. If they are ever confirmed there will be a slaughter the likes of which hasn’t been seen since the November Riots."
0056773F,"Movement: CRAWL"
00695803,"Social Content is disabled, please log in to enable."
006C8A61,"EFFECTS QUALITY"
007EFA5C,"You met BEATRIX BLOCH briefly shortly before your capture two years ago and the two of you had a short, but honest conversation. She might be HICASTE, but there is still something you can relate to in her. Now she needs your help with something, though whatever a woman like her might need help with is beyond you."
0088BC77,"Enough of this. The leech is out. Let’s get off the roof."
008C750E,"GRIDNODE"
008D1159,"So those snails are mush, I assume. Just as well. Though Dogen will rage, I’m sure."
00936803,"You have see, nothing!"
009651D7,"Noah: Very subtle. How about the item we have for you? It should be more than enough."
009728D0,"Faith: Thanks. See you in a bit."
00AFEDA9,"Icarus: Good! Now punch the release!"
00BBB5DA,"Faith: But what if someone sees me - you know, with their eyes?"
00BBE8BC,"Nomad: Hey Faith, you need to get out of scanning range or find a safe house. Go!"
00BC29D5,"Rebecca: Don’t be sorry. Just get the job done."
00C26B58,"If you hadn’t come I’d be dead or locked up by now. Thank you so much."
00D4A055,"Test Route One"
00D4B6CD,"Test Route Two"
00E26808,"Faith: I’m there. And so is KrugerSec."
00E2A9AA,"Faith: BeatLink contact. Good."
01171A89,"ADDITIONAL DIALOGUE WRITERS"
0119C1BB,"ADVANCED DEVELOPMENT GROUP LUCASFILM"
011A12AC,"Well, I wouldn’t go that far."
0120A278,"SUBTITLES"
012B4946,"Nomad: His apartment is on the top floor. Should be an easy climb for a spider such as yourself."
01372180,"This account does not meet minimum requirements. Please visit help.ea.com for more information."
01374F2E,"{0:input} + {1:input}  Quickly get BEHIND your opponent and expose their BACK for a follow-up attack "
013F0691,"SELECT"
015158B7,"Beatrix hasn't changed, but her marital status has. She's gotten married while you were away, but she wants to get away from her ABUSIVE husband and you’re going to help her. He's been fooling around with another woman for a while, and this should be enough to warrant a divorce.  To help gather PROOF of his infidelity you need to place three listening taps at locations frequented by Beatrix's husband. These include his favorite RESTAURANT, his OFFICE, and his hideaway APARTMENT."
0159CC40,"Yes. But he didn't send Icarus this time. That kid he raised,  "
01630041,"Plastic: I know, but they’ve locked down the room. I’m working on it."
016A2DB7,"We'd have to get someone to do it for us. A proxy."
0172DE9C,"Birdman: They did, and she and her sister seem to be doing fine. Sends me the occasional message. Even asked about you once."
01753126,"Attention. All Tier Four residents are to evacuate Sky City at once. Please do not be alarmed. This is standard procedure in order to allow for safe reparations of the damage."
01817CAF,"EAUK QA"
01854D31,"BUSINESS INTELLIGENCE ANALYST"
018930C5,"Rebecca: There will be those unable to accept these basic truths. Invariably they are the same people who profits the most from the current system. If necessary, they must be destroyed."
019132E2,"No, no, no, no…"
